trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday
8336,2013-06-29 14:06,2013-06-29 14:30,481,1470,5,State St & Harrison St,81,Daley Center Plaza,Customer,,
8338,2013-06-29 14:06,2013-06-29 14:30,597,1449,76,Lake Shore Dr & Monroe St,76,Lake Shore Dr & Monroe St,Customer,,
8339,2013-06-29 14:06,2013-06-29 14:09,228,176,81,Daley Center Plaza,37,Dearborn St & Adams St,Customer,,
8341,2013-06-29 14:06,2013-06-29 14:29,170,1371,22,May St & Taylor St,22,May St & Taylor St,Customer,,
8342,2013-06-29 14:07,2013-06-29 14:17,897,641,5,State St & Harrison St,90,Millennium Park,Customer,,
8343,2013-06-29 14:07,2013-06-29 14:17,174,638,5,State St & Harrison St,90,Millennium Park,Customer,,
8345,2013-06-29 14:07,2013-06-29 14:15,341,453,57,Clinton St & Roosevelt Rd,59,Wabash Ave & Roosevelt Rd,Customer,,
8349,2013-06-29 14:10,2013-06-29 15:05,563,3298,25,Michigan Ave & Pearson St,25,Michigan Ave & Pearson St,Customer,,
8351,2013-06-29 14:12,2013-06-29 14:18,256,328,90,Millennium Park,33,State St & Van Buren St,Customer,,
8358,2013-06-29 14:13,2013-06-29 14:40,561,1605,25,Michigan Ave & Pearson St,49,Dearborn St & Monroe St,Customer,,
8360,2013-06-29 14:14,2013-06-29 14:21,76,426,36,Franklin St & Jackson Blvd,73,Jefferson St & Monroe St,Customer,,
8367,2013-06-29 14:16,2013-06-29 16:02,457,6365,62,McCormick Place,62,McCormick Place,Customer,,
8368,2013-06-29 14:16,2013-06-29 14:48,565,1880,48,Larrabee St & Kingsbury St,69,Damen Ave & Pierce Ave,Customer,,
8369,2013-06-29 14:17,2013-06-29 14:39,348,1347,45,Michigan Ave & Congress Pkwy,90,Millennium Park,Customer,,
8371,2013-06-29 14:17,2013-06-29 14:40,517,1337,90,Millennium Park,90,Millennium Park,Customer,,
8372,2013-06-29 14:17,2013-06-29 14:51,353,1998,25,Michigan Ave & Pearson St,90,Millennium Park,Customer,,
8373,2013-06-29 14:18,2013-06-29 14:28,456,626,56,Desplaines St & Kinzie St,49,Dearborn St & Monroe St,Customer,,
8375,2013-06-29 14:19,2013-06-29 14:49,379,1792,48,Larrabee St & Kingsbury St,69,Damen Ave & Pierce Ave,Customer,,
8376,2013-06-29 14:19,2013-06-29 14:30,118,655,90,Millennium Park,77,Clinton St & Madison St,Customer,,
8377,2013-06-29 14:19,2013-06-29 14:27,70,434,91,Clinton St & Washington Blvd,36,Franklin St & Jackson Blvd,Customer,,
8378,2013-06-29 14:20,2013-06-29 15:19,357,3535,62,McCormick Place,62,McCormick Place,Customer,,
8382,2013-06-29 14:20,2013-06-29 14:33,143,809,69,Damen Ave & Pierce Ave,29,Noble St & Milwaukee Ave,Customer,,
8383,2013-06-29 14:20,2013-06-29 15:15,363,3275,59,Wabash Ave & Roosevelt Rd,51,Clark St & Randolph St,Customer,,
8384,2013-06-29 14:21,2013-06-29 15:15,116,3285,59,Wabash Ave & Roosevelt Rd,51,Clark St & Randolph St,Customer,,
8385,2013-06-29 14:21,2013-06-29 15:02,533,2484,26,McClurg Ct & Illinois St,67,Sheffield Ave & Fullerton Ave,Customer,,
8386,2013-06-29 14:21,2013-06-29 15:02,712,2479,26,McClurg Ct & Illinois St,67,Sheffield Ave & Fullerton Ave,Customer,,
8387,2013-06-29 14:22,2013-06-29 14:53,105,1843,62,McCormick Place,45,Michigan Ave & Congress Pkwy,Customer,,
8388,2013-06-29 14:22,2013-06-29 14:46,192,1462,121,Blackstone Ave & Hyde Park Blvd,69,Damen Ave & Pierce Ave,Customer,,
8390,2013-06-29 14:22,2013-06-29 14:47,340,1523,48,Larrabee St & Kingsbury St,69,Damen Ave & Pierce Ave,Customer,,
8392,2013-06-29 14:23,2013-06-29 14:51,599,1647,25,Michigan Ave & Pearson St,90,Millennium Park,Customer,,
8393,2013-06-29 14:23,2013-06-29 14:39,522,947,58,Ashland Ave & Armitage Ave,87,Racine Ave & Fullerton Ave,Customer,,
8394,2013-06-29 14:23,2013-06-29 16:52,273,8928,58,Ashland Ave & Armitage Ave,85,Michigan Ave & Oak St,Customer,,
8395,2013-06-29 14:23,2013-06-29 14:51,459,1636,25,Michigan Ave & Pearson St,90,Millennium Park,Customer,,
